Название;Характеристики;Ссылка;Картинка
AudiQ8S-line;340л.с. 2020 Полный  18.900Р/сутки;https://carloson.ru/car/arenda-audi-q8;https://carloson.ru/uploads/images/cars/63/a0a5e579021fe766eedb7e98b56e825d.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-audi-rsq8-black;https://carloson.ru/uploads/images/cars/119/a6619eccf3df44bf259c9600f325f3aa.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-rs-q8-grey;https://carloson.ru/uploads/images/cars/120/d689d40eb1afc43dddd976703f269029.jpg
BentleyBentaygaFirstEdition;550л.с. 2021 Полный  69.000Р/сутки;https://carloson.ru/car/arenda-bentley-bentayga;https://carloson.ru/uploads/images/cars/92/f2f7a0e43c1e2a3a7dec772f436dbd0a.jpg
BMWX5M-SPORT;340л.с. 2019 Полный  16.900Р/сутки;https://carloson.ru/car/arenda-bmw-x5-g05;https://carloson.ru/uploads/images/cars/22/de6cf6b0193680e797ac065eee95587d-619x422.jpg
BMWX6M-SPORT;249л.с. 2020 Полный  19.000Р/сутки;https://carloson.ru/car/arenda-bmw-x6;https://carloson.ru/uploads/images/cars/24/31e49e91bd631b69732969c4bc70b1f3-619x422.jpg
BMWX7M-SPORT;249л.с. 2019 Полный  19.900Р/сутки;https://carloson.ru/car/arenda-bmw-x7;https://carloson.ru/uploads/images/cars/23/890bcc450e37f6b5ca345de86342813d-619x422.jpg
BMWX5M-SPORT;249л.с. 2020 Полный  16.900Р/сутки;https://carloson.ru/car/arenda-bmw-x5d-g05;https://carloson.ru/uploads/images/cars/52/6fb4d8ebe9ecf6088096a77cfb30e082-619x422.jpg
BMWX7M-SPORT;340л.с. 2020 Полный  19.900Р/сутки;https://carloson.ru/car/arenda-bmw-x7-new;https://carloson.ru/uploads/images/cars/53/c98a5243f85227f59fe711d125e0a76f-619x422.jpg
BMWX6MCompetition;625л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x6m-competition;https://carloson.ru/uploads/images/cars/68/af9825776677b5c684f3fc7a0fc44db2.jpg
BMWX5MCompetition;625л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x5m-competition;https://carloson.ru/uploads/images/cars/97/DSCF0359 — копия-619x422.jpg
BMWX5MCompetition;625л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x5m-competition-black;https://carloson.ru/uploads/images/cars/108/05214eed06b9b65388b785a8c749d55f.jpg
BMWX6;249л.с. Полный  13.900Р/сутки;https://carloson.ru/car/arenda-bmw-x6-f16;https://carloson.ru/uploads/images/cars/121/710cac01339acdb1deb4469a1cc15d11.jpg
CadillacEscalade;409л.с. Полный  15.900Р/сутки;https://carloson.ru/car/arenda-cadillac-escalade;https://carloson.ru/uploads/images/cars/1/132b531b17830756f732923fdf6e8225-619x422.jpg
GenesisGV80;249л.с. 2021 Полный  15.900Р/сутки;https://carloson.ru/car/arenda-genesis-gv80;https://carloson.ru/uploads/images/cars/93/a2a859ea5c1716058f6df3a2935e180a.jpg
GMCYukon;428л.с. 2021 Полный  21.900Р/сутки;https://carloson.ru/car/arenda-gmc-yukon;https://carloson.ru/uploads/images/cars/128/DSCF9653 — копия.jpg
LamborghiniUrus;650л.с. 2020 Полный  70.000Р/сутки;https://carloson.ru/car/arenda-lamborghini-urus;https://carloson.ru/uploads/images/cars/70/27420d9749e8a84474742dec0da87284.jpg
LamborghiniUrus;650л.с. Полный  85.000Р/сутки;https://carloson.ru/car/arenda-lamborghini-urus-yellow;https://carloson.ru/uploads/images/cars/122/0706413c64fa5288d2ad4e6ed38dde78.jpg
MercedesGLS400AMG;333л.с. 2016 Полный  15.900Р/сутки;https://carloson.ru/car/mercedes-benz-gl400;https://carloson.ru/uploads/images/cars/21/22566221d072aa8e7bcd7f1ce30a3e87-619x422.jpg
MercedesG500NEW;422л.с. 2019 Полный  39.000Р/сутки;https://carloson.ru/car/arenda-mercedes-benz-g500-new;https://carloson.ru/uploads/images/cars/26/ee58c9381a2008e8dfd4853ecd5f5a41-619x422.jpg
MercedesG500;388л.с. Полный  19.900Р/сутки;https://carloson.ru/car/arenda-mercedes-g55;https://carloson.ru/uploads/images/cars/29/003202c9bc43e673778d6505614c1947-619x422.jpg
MercedesGLC300;245л.с. Полный  8.900Р/сутки;https://carloson.ru/car/arenda-mercedes-glc-300;https://carloson.ru/uploads/images/cars/43/08cbcc1646ef12e7b20469e114b13083-619x422.jpg
MercedesG63AMGNEW;585л.с. 2020 Полный  59.000Р/сутки;https://carloson.ru/car/arenda-mercedes-g63-new;https://carloson.ru/uploads/images/cars/56/c7481b03b6973d3831121ae9eb7d2f9b.jpg
MercedesGLS400luxury;330л.с. 2020 Полный  23.000Р/сутки;https://carloson.ru/car/arenda-gls-new-2020;https://carloson.ru/uploads/images/cars/65/d29f6b20fc4b4e57e1c8123081b70373.jpg
MercedesG350d;249л.с. 2021 Полный  39.000Р/сутки;https://carloson.ru/car/arenda-mercedes-g350;https://carloson.ru/uploads/images/cars/115/5296ff89fc13ab3f81ea48fc34d3f8c9.jpg
MercedesGLS350d;249л.с. 2018 Полный  15.900Р/сутки;https://carloson.ru/car/arenda-mercedes-gls-350d;https://carloson.ru/uploads/images/cars/96/024260dc437218e82ab88d8c0479f1aa.jpg
MercedesGLS450FirstClass;367л.с. 2021 Полный  25.000Р/сутки;https://carloson.ru/car/arenda-mercedes-gls-first-class;https://carloson.ru/uploads/images/cars/105/05500c926fc28483122335f7184feb3a.jpg
MercedesGLE450SportPlus;367л.с. 2021 Полный  20.900Р/сутки;https://carloson.ru/car/arenda-mercedes-gle-450;https://carloson.ru/uploads/images/cars/106/2caa012730b1aa0a4291d5e8de21e0c7.jpg
PorscheCayenneGTS;440л.с. Полный  15.900Р/сутки;https://carloson.ru/car/porsche-cayenne-gts;https://carloson.ru/uploads/images/cars/4/69347933c69809c85e9e8b7c50faa978.jpg
PorscheCayenneNEW;340л.с. 2019 Полный  16.900Р/сутки;https://carloson.ru/car/porsche-cayenne-new;https://carloson.ru/uploads/images/cars/27/e9451be8bacf39e08c10176c52c64767.jpg
PorscheCayenne;300л.с. Полный  14.900Р/сутки;https://carloson.ru/car/arenda-porsche-cayenne-958;https://carloson.ru/uploads/images/cars/55/4b7a97c61147ee37493dedfe001ee0e4-619x422.jpg
PorscheCayenneSportDesign;340л.с. 2021 Полный  20.900Р/сутки;https://carloson.ru/car/arenda-porsche-cayenne-sd;https://carloson.ru/uploads/images/cars/131/b7cd21521bb466ca64dde12e65c297c5.jpg
PorscheCayenneGTSNEW;460л.с. 2021 Полный  36.900Р/сутки;https://carloson.ru/car/arenda-porsche-cayenne-gts-new;https://carloson.ru/uploads/images/cars/133/ae9cd361fe38603e713062f332f81d99.jpg
PorscheMacan;252л.с. 2021 Полный  15.900Р/сутки;https://carloson.ru/car/arenda-porsche-macan-new;https://carloson.ru/uploads/images/cars/134/c03f8cf8b7c7b6fe83a237fa6b619eb8.jpg
RangeRoverAutobiography;510л.с. Полный  17.900Р/сутки;https://carloson.ru/car/range-rover-autobiography;https://carloson.ru/uploads/images/cars/28/90146e2382e28941a145416436b1c186-619x422.jpg
RangeRoverVelar;180л.с. 2020 Полный  13.900Р/сутки;https://carloson.ru/car/arenda-range-rover-velar;https://carloson.ru/uploads/images/cars/50/8b7b3333defd02b25f4666feccc9c1f2-619x422.jpg
RangeRoverSport;249л.с. Полный  13.900Р/сутки;https://carloson.ru/car/arenda-range-rover-sport;https://carloson.ru/uploads/images/cars/78/dce715068502c24b55e06ea670eff0e6.jpg
RangeRoverLong;249л.с. Полный  20.900Р/сутки;https://carloson.ru/car/arenda-range-long;https://carloson.ru/uploads/images/cars/111/54d7c8c5718960bcbfe7e6bdf31bfd22.jpg
RangeRoverAutobiographyLong;339л.с. 2018 Полный  23.900Р/сутки;https://carloson.ru/car/arenda-range-rover-long;https://carloson.ru/uploads/images/cars/88/fa42b0197fa03ac61e9a958f98fbc897.jpg
RangeRoverAutobiographyLong;339л.с. 2018 Полный  23.900Р/сутки;https://carloson.ru/car/arenda-rover-long;https://carloson.ru/uploads/images/cars/118/c514e497310310818553a4918f70ed95.jpg
BMW530dM-SPORT;249л.с. 2019 Полный  10.500Р/сутки;https://carloson.ru/car/bmw-530;https://carloson.ru/uploads/images/cars/8/3f9d5e6aa676b4f1b7c4e2e3100f8dfe-619x422.jpg
BMW520d;190л.с. 2020 Полный  8.500Р/сутки;https://carloson.ru/car/arenda-bmw-520d;https://carloson.ru/uploads/images/cars/87/DSCF5424.jpg
BMW530dM-SPORTrest.;249л.с. 2021 Полный  11.900Р/сутки;https://carloson.ru/car/arenda-bmw-530-rest;https://carloson.ru/uploads/images/cars/94/779d855b5775420580bfd4c95b0ce685.jpg
BMW520dM-SPORTrest.;190л.с. 2021 Полный  10.900Р/сутки;https://carloson.ru/car/arenda-bmw-520d-rest;https://carloson.ru/uploads/images/cars/102/dc20cf2ab98564d0c4a8048c4cde36c8.jpg
GenesisG80;249л.с. 2021 Полный  11.900Р/сутки;https://carloson.ru/car/arenda-genesis-g80;https://carloson.ru/uploads/images/cars/103/2021-Genesis-G80-3.5T-AWD-21.jpg
MercedesE220dAMG;194л.с. 2019 Полный  9.500Р/сутки;https://carloson.ru/car/mercedes-benz-e220;https://carloson.ru/uploads/images/cars/9/f68f5c57b0861a534b8e540a7a62f7be-619x422.jpg
MercedesE220drest.2020;194л.с. 2020 Полный  10.900Р/сутки;https://carloson.ru/car/arenda-mercedes-e220-new;https://carloson.ru/uploads/images/cars/62/5517804b683b93f62d6c03612223a1bd.jpg
MercedesE200rest.2020;197л.с. 2020 Полный  10.900Р/сутки;https://carloson.ru/car/arenda-mercedes-e200-rest;https://carloson.ru/uploads/images/cars/79/5aafd18793907b3f46e2beb48728ccc0.jpg
MercedesCLS350d;249л.с. Полный  13.900Р/сутки;https://carloson.ru/car/arenda-mercedes-cls;https://carloson.ru/uploads/images/cars/135/88eb38b90ee15f8230c36cf5456fbbfe.jpg
MercedesE200Coupe;197л.с. 2021 Полный  12.900Р/сутки;https://carloson.ru/car/arenda-mercedes-e200-coupe;https://carloson.ru/uploads/images/cars/136/DSCF3926.jpg
BentleyContinentalGTV8;507л.с. Полный  25.000Р/сутки;https://carloson.ru/car/arenda-bentley-continental-gt;https://carloson.ru/uploads/images/cars/33/fbc0c8aff45417bd2b0aebe361b6c00a-619x422.jpg
BentleyContinentalGTV12;635л.с. 2020 Полный  55.000Р/сутки;https://carloson.ru/car/arenda-bentley-continental-gt-new;https://carloson.ru/uploads/images/cars/64/DSCF1433-619x422.jpg
BentleyBentaygaFirstEdition;550л.с. 2021 Полный  69.000Р/сутки;https://carloson.ru/car/arenda-bentley-bentayga;https://carloson.ru/uploads/images/cars/92/f2f7a0e43c1e2a3a7dec772f436dbd0a.jpg
BMW730Ld;249л.с. 2020 Полный  18.900Р/сутки;https://carloson.ru/car/arenda-bmw-730;https://carloson.ru/uploads/images/cars/90/9426feebd0714d302eec79d3bbb7d9a0.jpg
GenesisG90;370л.с. 2021 Полный  17.900Р/сутки;https://carloson.ru/car/arenda-genesis-g90;https://carloson.ru/uploads/images/cars/104/60569 (1)-619x422.jpg
MercedesS350d;249л.с. 2019 Полный  19.900Р/сутки;https://carloson.ru/car/arenda-mercedes-s350;https://carloson.ru/uploads/images/cars/32/fbed78b3f1d22fbc7292e01d61e7e983-619x422.jpg
MercedesMaybach;367л.с. 2019 Полный  26.900Р/сутки;https://carloson.ru/car/arenda-mercedes-maybach;https://carloson.ru/uploads/images/cars/46/095da6830440d9f16fec04d364d94c52-619x422.jpg
MercedesS63AMGCoupe;612л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-mercedes-s-coupe;https://carloson.ru/uploads/images/cars/67/2022557a3c4b3ff9288ff8f3db7ba4cc.jpg
MercedesMaybach;367л.с. 2020 Полный  26.900Р/сутки;https://carloson.ru/car/arenda-mercedes-maybach-new;https://carloson.ru/uploads/images/cars/69/DSCF8240 (2).jpg
MercedesS350dW223;249л.с. 2021 Полный  31.000Р/сутки;https://carloson.ru/car/arenda-mercedes-s350-w223;https://carloson.ru/uploads/images/cars/100/a3767f2b9d16419e8795c33d40db6759.jpg
MercedesMaybach;367л.с. 2020 Полный  26.900Р/сутки;https://carloson.ru/car/arenda-maybach-black;https://carloson.ru/uploads/images/cars/86/7a1480dec4ab8d8edac52c7386161ba7.jpg
MercedesS450W223;367л.с. 2021 Полный  39.000Р/сутки;https://carloson.ru/car/arenda-mercedes-s450-w223;https://carloson.ru/uploads/images/cars/101/b66668f9efa139a693729721bede42c9.jpg
PorschePanameraTurbo;550л.с. Полный  28.000Р/сутки;https://carloson.ru/car/arenda-porsche-panamera-new;https://carloson.ru/uploads/images/cars/16/79015c52cde8aaf02083b7c4d3ce47e0.jpg
Porsche4S;440л.с. Полный  21.900Р/сутки;https://carloson.ru/car/arenda-porsche-panamera-4s;https://carloson.ru/uploads/images/cars/138/84e52a1059e2a653b26176d52408d764.jpg
RollsRoyceWraith;632л.с. Задний  75.000Р/сутки;https://carloson.ru/car/arenda-rolls-royce-wraith;https://carloson.ru/uploads/images/cars/98/3d0776b39548600b4c115a5aac8d4c2c.jpg
RollsRoyceDawn;570л.с. Полный  100.000Р/сутки;https://carloson.ru/car/arenda-polls-royce-dawn;https://carloson.ru/uploads/images/cars/123/864cc2fcd006bf263fe399b7823938b4.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-audi-rsq8-black;https://carloson.ru/uploads/images/cars/119/a6619eccf3df44bf259c9600f325f3aa.jpg
AudiRSQ8;600л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-rs-q8-grey;https://carloson.ru/uploads/images/cars/120/d689d40eb1afc43dddd976703f269029.jpg
BMWM8Competition;625л.с. 2020 Полный  50.000Р/сутки;https://carloson.ru/car/arenda-bmw-m8-competition;https://carloson.ru/uploads/images/cars/72/DSCF7433.jpg
BMWM5Competition;625л.с. 2020 Полный  40.000Р/сутки;https://carloson.ru/car/arenda-bmw-m5-competition;https://carloson.ru/uploads/images/cars/74/97224ff59139afad59e829adc76413c9.jpg
BMWX5MCompetition;625л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x5m-competition;https://carloson.ru/uploads/images/cars/97/DSCF0359 — копия-619x422.jpg
BMWX5MCompetition;625л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-bmw-x5m-competition-black;https://carloson.ru/uploads/images/cars/108/05214eed06b9b65388b785a8c749d55f.jpg
ChevroletCamaro;239л.с. 2018 Задний  16.000Р/сутки;https://carloson.ru/car/chevrolet-camaro;https://carloson.ru/uploads/images/cars/3/bf2c8be5d3cd976567ff2cc1d23329ba-619x422.jpg
ChevroletCamaroCabrio;280л.с. 2018 Задний  19.000Р/сутки;https://carloson.ru/car/chevrolet-camaro-cabrio;https://carloson.ru/uploads/images/cars/35/944e0408bf99f0dfa964c040857d4840-619x422.jpg
ChevroletCorvette;466л.с. Задний  35.000Р/сутки;https://carloson.ru/car/arenda-chevrolet-corvette;https://carloson.ru/uploads/images/cars/47/199b36dd639bbc6fdd37981462ea14a2-619x422.jpg
DodgeChallenger;309л.с. 2018 Полный  16.000Р/сутки;https://carloson.ru/car/arenda-dodge-challenger-new;https://carloson.ru/uploads/images/cars/12/f9a86e080ac0af4d1cee2afe0eaeb885-619x422.jpg
FerrariCalifornia;460л.с. Задний  50.000Р/сутки;https://carloson.ru/car/arenda-ferrari-california;https://carloson.ru/uploads/images/cars/13/9cb3d97c31c6bc76f3914d429d294bc4-619x422.jpg
FerrariF8Spyder;720л.с. Задний  150.000Р/сутки;https://carloson.ru/car/arenda-ferrari-f8;https://carloson.ru/uploads/images/cars/126/e4ae58ddf16fa59a3313f9d712cdc84c.jpg
FerrariF12Berlinetta;740л.с. Задний  100.000Р/сутки;https://carloson.ru/car/arenda-ferrari-f12-berlinetta;https://carloson.ru/uploads/images/cars/139/DSCF6756.jpg
FordMustangCoupe;317л.с. 2017 Задний  16.000Р/сутки;https://carloson.ru/car/ford-mustang-coupe;https://carloson.ru/uploads/images/cars/39/440d445f8086d7da480e8e3aeb156483-619x422.jpg
FordMustangCabrio;466л.с. 2018 Задний  17.900Р/сутки;https://carloson.ru/car/ford-mustang-cabrio;https://carloson.ru/uploads/images/cars/40/2bff2a8355513214e1f4849e87518ed0.jpg
LamborghiniHuracan;640л.с. 2018 Полный  90.000Р/сутки;https://carloson.ru/car/lamborgini-huracan;https://carloson.ru/uploads/images/cars/2/39734b601480b9070c57d3451497505d.jpg
LamborghiniUrus;650л.с. 2020 Полный  70.000Р/сутки;https://carloson.ru/car/arenda-lamborghini-urus;https://carloson.ru/uploads/images/cars/70/27420d9749e8a84474742dec0da87284.jpg
LamborghiniUrus;650л.с. Полный  85.000Р/сутки;https://carloson.ru/car/arenda-lamborghini-urus-yellow;https://carloson.ru/uploads/images/cars/122/0706413c64fa5288d2ad4e6ed38dde78.jpg
MercedesAMGGT63S;639л.с. 2019 Полный  40.000Р/сутки;https://carloson.ru/car/arenda-mercedes-gt-amg-coupe;https://carloson.ru/uploads/images/cars/71/6348d7b8cb30920959db4b533daeff2d.jpg
MercedesAMGGTS;510л.с. 2018 Задний  39.000Р/сутки;https://carloson.ru/car/arenda-amg-gts-grey;https://carloson.ru/uploads/images/cars/66/24fb86b6af00d7c51df8c06c4c179d7f.jpg
MercedesS63AMGCoupe;612л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-mercedes-s-coupe;https://carloson.ru/uploads/images/cars/67/2022557a3c4b3ff9288ff8f3db7ba4cc.jpg
MercedesE63SAMGrest.;612л.с. 2020 Полный  40.000Р/сутки;https://carloson.ru/car/arenda-mercedes-e63s;https://carloson.ru/uploads/images/cars/73/a15cd7b0f63858daa57bc17812f25ab0.jpg
MercedesAMGGT43;367л.с. Полный  26.900Р/сутки;https://carloson.ru/car/arenda-amg-gt-43;https://carloson.ru/uploads/images/cars/117/DSCF1359.jpg
Porsche911;450л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/porsche-911;https://carloson.ru/uploads/images/cars/14/abce3ebe19994d446beb914ea43a1f69.jpg
PorscheBoxster;265л.с. Задний  23.000Р/сутки;https://carloson.ru/car/arenda-porsche-boxster;https://carloson.ru/uploads/images/cars/37/a853639a1f4aea9fe95625a6a3a1629c.jpg
PorscheBoxsterS;315л.с. Задний  23.000Р/сутки;https://carloson.ru/car/arenda-boxster-s;https://carloson.ru/uploads/images/cars/113/06ecd591bf67f65c5f5a56354cd4d006.jpg
Porsche911Turbo;580л.с. 2021 Полный  85.000Р/сутки;https://carloson.ru/car/arenda-911-turbo;https://carloson.ru/uploads/images/cars/116/bda0a24699ada180f3d49387b4a198e6.jpg
BentleyContinentalGTV8;507л.с. Полный  25.000Р/сутки;https://carloson.ru/car/arenda-bentley-continental-gt;https://carloson.ru/uploads/images/cars/33/fbc0c8aff45417bd2b0aebe361b6c00a-619x422.jpg
BentleyContinentalGTV12;635л.с. 2020 Полный  55.000Р/сутки;https://carloson.ru/car/arenda-bentley-continental-gt-new;https://carloson.ru/uploads/images/cars/64/DSCF1433-619x422.jpg
BMWM8Competition;625л.с. 2020 Полный  50.000Р/сутки;https://carloson.ru/car/arenda-bmw-m8-competition;https://carloson.ru/uploads/images/cars/72/DSCF7433.jpg
BMWM440;387л.с. 2021 Полный  18.900Р/сутки;https://carloson.ru/car/arenda-bmw-440;https://carloson.ru/uploads/images/cars/125/961e25a54bf7ed7a2750fd0e6576409c.jpg
ChevroletCamaro;239л.с. 2018 Задний  16.000Р/сутки;https://carloson.ru/car/chevrolet-camaro;https://carloson.ru/uploads/images/cars/3/bf2c8be5d3cd976567ff2cc1d23329ba-619x422.jpg
ChevroletCorvette;466л.с. Задний  35.000Р/сутки;https://carloson.ru/car/arenda-chevrolet-corvette;https://carloson.ru/uploads/images/cars/47/199b36dd639bbc6fdd37981462ea14a2-619x422.jpg
DodgeChallenger;309л.с. 2018 Полный  16.000Р/сутки;https://carloson.ru/car/arenda-dodge-challenger-new;https://carloson.ru/uploads/images/cars/12/f9a86e080ac0af4d1cee2afe0eaeb885-619x422.jpg
FordMustangCoupe;317л.с. 2017 Задний  16.000Р/сутки;https://carloson.ru/car/ford-mustang-coupe;https://carloson.ru/uploads/images/cars/39/440d445f8086d7da480e8e3aeb156483-619x422.jpg
MercedesAMGGTS;510л.с. 2018 Задний  39.000Р/сутки;https://carloson.ru/car/arenda-amg-gts-grey;https://carloson.ru/uploads/images/cars/66/24fb86b6af00d7c51df8c06c4c179d7f.jpg
MercedesS63AMGCoupe;612л.с. 2020 Полный  45.000Р/сутки;https://carloson.ru/car/arenda-mercedes-s-coupe;https://carloson.ru/uploads/images/cars/67/2022557a3c4b3ff9288ff8f3db7ba4cc.jpg
MercedesE200Coupe;197л.с. 2021 Полный  12.900Р/сутки;https://carloson.ru/car/arenda-mercedes-e200-coupe;https://carloson.ru/uploads/images/cars/136/DSCF3926.jpg
Porsche911;450л.с. 2021 Полный  45.000Р/сутки;https://carloson.ru/car/porsche-911;https://carloson.ru/uploads/images/cars/14/abce3ebe19994d446beb914ea43a1f69.jpg
PorscheBoxster;265л.с. Задний  23.000Р/сутки;https://carloson.ru/car/arenda-porsche-boxster;https://carloson.ru/uploads/images/cars/37/a853639a1f4aea9fe95625a6a3a1629c.jpg
RollsRoyceWraith;632л.с. Задний  75.000Р/сутки;https://carloson.ru/car/arenda-rolls-royce-wraith;https://carloson.ru/uploads/images/cars/98/3d0776b39548600b4c115a5aac8d4c2c.jpg
BMW320d;190л.с. 2021 Полный  8.900Р/сутки;https://carloson.ru/car/arenda-bmw-320d;https://carloson.ru/uploads/images/cars/114/63078d865d7d5d140145bb9a8794b659.jpg
BMW218M-SPORT;140л.с. 2021 Передний  6.000Р/сутки;https://carloson.ru/car/arenda-bmw-218;https://carloson.ru/uploads/images/cars/95/257daa9377e3a92acdc713777a8731dc.jpg
GenesisG70;197л.с. 2019 Полный  5.500Р/сутки;https://carloson.ru/car/arenda-genesis-g70;https://carloson.ru/uploads/images/cars/80/67dcefac5ee7b679126b1819a71519f0.jpg
KIAOptima;150л.с. 2019 Передний  5.000Р/сутки;https://carloson.ru/car/arenda-kia-optima;https://carloson.ru/uploads/images/cars/54/ce9f54c3607da2423cc158346c15e77b-619x422.jpg
KIAK5GTline;194л.с. 2021 Передний  6.900Р/сутки;https://carloson.ru/car/arenda-kia-k5;https://carloson.ru/uploads/images/cars/130/DSCF9062.jpg
MercedesA200;150л.с. 2019 Передний  6.000Р/сутки;https://carloson.ru/car/arenda-mercedes-a200;https://carloson.ru/uploads/images/cars/99/DSCF0699.jpg
MINIJohnCooperWorks;231л.с. 2021 Передний  9.500Р/сутки;https://carloson.ru/car/arenda-mini-jcw;https://carloson.ru/uploads/images/cars/127/52b136c56815e65cfae5feadb029c72a.jpg
HyundaiGrandStarex;174л.с. 2015 Задний  5.000Р/сутки;https://carloson.ru/car/hyundai-grand-starex;https://carloson.ru/uploads/images/cars/18/arenda-grand-starex-619x422.jpg
MercedesV250d;190л.с. Полный  12.900Р/сутки;https://carloson.ru/car/arenda-mercedes-benz-v250;https://carloson.ru/uploads/images/cars/19/af78b292437cc33584798cf7eb7b441b-619x422.jpg
MercedesV200d;136л.с. Задний  9.900Р/сутки;https://carloson.ru/car/arenda-mercedes-benz-v200;https://carloson.ru/uploads/images/cars/44/a89ad387a9ba5fa25d8fc9579b9a5618-619x422.jpg
MercedesV250dExtraLong;190л.с. 2020 Полный  16.300Р/сутки;https://carloson.ru/car/arenda-mercedes-v-class-extra-long;https://carloson.ru/uploads/images/cars/76/b32775428458201171d27004476ed599.jpg
MercedesV250d;190л.с. 2020 Полный  13.900Р/сутки;https://carloson.ru/car/arenda-v250;https://carloson.ru/uploads/images/cars/77/77386b7534b1db207825790bae74691a.jpg
MercedesV220d;163л.с. 2021 Полный  12.900Р/сутки;https://carloson.ru/car/arenda-mercedes-v220;https://carloson.ru/uploads/images/cars/137/DSCF2780.jpg
BMWZ4;197л.с. 2021 Задний  18.500Р/сутки;https://carloson.ru/car/arenda-bmw-z4-new;https://carloson.ru/uploads/images/cars/132/5c6a7a2d88b6b58d896b1b7217fe34aa.jpg
ChevroletCamaroCabrio;280л.с. 2018 Задний  19.000Р/сутки;https://carloson.ru/car/chevrolet-camaro-cabrio;https://carloson.ru/uploads/images/cars/35/944e0408bf99f0dfa964c040857d4840-619x422.jpg
ChevroletCorvette;466л.с. Задний  35.000Р/сутки;https://carloson.ru/car/arenda-chevrolet-corvette;https://carloson.ru/uploads/images/cars/47/199b36dd639bbc6fdd37981462ea14a2-619x422.jpg
FerrariCalifornia;460л.с. Задний  50.000Р/сутки;https://carloson.ru/car/arenda-ferrari-california;https://carloson.ru/uploads/images/cars/13/9cb3d97c31c6bc76f3914d429d294bc4-619x422.jpg
FerrariF8Spyder;720л.с. Задний  150.000Р/сутки;https://carloson.ru/car/arenda-ferrari-f8;https://carloson.ru/uploads/images/cars/126/e4ae58ddf16fa59a3313f9d712cdc84c.jpg
FordMustangCabrio;466л.с. 2018 Задний  17.900Р/сутки;https://carloson.ru/car/ford-mustang-cabrio;https://carloson.ru/uploads/images/cars/40/2bff2a8355513214e1f4849e87518ed0.jpg
MercedesE200Cabrio;194л.с. Полный  18.000Р/сутки;https://carloson.ru/car/arenda-e200-cabrio;https://carloson.ru/uploads/images/cars/129/162b4f475765354d88c8ebf31800bca0.jpg
PorscheBoxster;265л.с. Задний  23.000Р/сутки;https://carloson.ru/car/arenda-porsche-boxster;https://carloson.ru/uploads/images/cars/37/a853639a1f4aea9fe95625a6a3a1629c.jpg
PorscheBoxsterS;315л.с. Задний  23.000Р/сутки;https://carloson.ru/car/arenda-boxster-s;https://carloson.ru/uploads/images/cars/113/06ecd591bf67f65c5f5a56354cd4d006.jpg
Porsche911Turbo;580л.с. 2021 Полный  85.000Р/сутки;https://carloson.ru/car/arenda-911-turbo;https://carloson.ru/uploads/images/cars/116/bda0a24699ada180f3d49387b4a198e6.jpg
RollsRoyceDawn;570л.с. Полный  100.000Р/сутки;https://carloson.ru/car/arenda-polls-royce-dawn;https://carloson.ru/uploads/images/cars/123/864cc2fcd006bf263fe399b7823938b4.jpg
